"","COD_CURSO","NOME_CURSO","AREA_CONHECIMENTO","ANO_EVASAO","PERIODO_EVASAO","FORMA_EVASAO","COTISTA","TIPO_COTA","SEXO","QTDE","ETNIA","FORMA_EVASAO_","FORMA_EVASAO_limpa","CURSO","MODALIDADE","SEXO_","ETNIA_","COTISTA_","QTDE_FORMADO","EVASAO","QTDE_TOTAL"
"991","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Reopção de curso","Não Cotista","Ampla concorrência","Feminino",1,"Amarela","Reopção de Curso","Transferência Interna","Química","Bacharelado","Feminino","Amarela","Não Cotista",0,"Evadido",1
"992","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Reopção de curso","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Reopção de Curso","Transferência Interna","Química","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",1
"993","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",2,"Parda","Desistência","Desistência","Química","Licenciatura","Feminino","Parda","Não Cotista",0,"Evadido",2
"994","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Desistência","Desistência","Química","Licenciatura","Masculino","Branca","Não Cotista",0,"Evadido",1
"995","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Licenciatura","Feminino","Branca","Não Cotista",0,"Evadido",1
"996","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Licenciatura","Masculino","Branca","Não Cotista",0,"Evadido",1
"997","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Branca","Formado","Formado","Química","Licenciatura","Feminino","Branca","Não Cotista",1,"Formado",1
"998","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Parda","Formado","Formado","Química","Licenciatura","Feminino","Parda","Não Cotista",2,"Formado",2
"999","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Preta","Formado","Formado","Química","Licenciatura","Masculino","Preta","Não Cotista",1,"Formado",1
"1000","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Parda","Formado","Formado","Química","Licenciatura","Masculino","Parda","Não Cotista",1,"Formado",1
"1001","32 L","Química - Licenciatura","Educação",2018,"1º Semestre","Reopção de curso","Cotista","Renda Normal e PPI","Feminino",1,"Parda","Reopção de Curso","Transferência Interna","Química","Licenciatura","Feminino","Parda","Cotista",0,"Evadido",1
"1002","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",2,"Branca","Desistência","Desistência","Física","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",2
"1003","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desistência","Desistência","Física","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"1004","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desistência","Desistência","Física","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",2
"1005","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Cotista","Baixa Renda e Não PPI","Masculino",1,"Branca","Desistência","Desistência","Física","Bacharelado","Masculino","Branca","Cotista",0,"Evadido",1
"1006","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Cotista","Baixa Renda e PPI","Masculino",2,"Parda","Desistência","Desistência","Física","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",2
"1007","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desistência","Cotista","Renda Normal e PPI","Masculino",1,"Parda","Desistência","Desistência","Física","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",1
"1008","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Física","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",1
"1009","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2018,"2º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Branca","Formado","Formado","Física","Bacharelado","Feminino","Branca","Não Cotista",1,"Formado",1
